,company,description,exp,loc,salary,skills
169, AELFRIC SOLUTIONS PRIVATE LIMITED  ,,5,Pune,1000000,"['Unix Shell Scripting, SQL, ETL, Ab Initio, Teradata, Data Warehousing...']"
170, AELFRIC SOLUTIONS PRIVATE LIMITED  ,,5,Pune,1000000,"['Unix Shell Scripting, SQL, Ab Initio, ETL, Teradata, Data Warehousing...']"
171, Out Sourcing Company  ,,0,"Chennai, Hyderabad, Pune",400000,"['Informatica Power Center, ETL, Data Warehousing, Cognos, Datastage...']"
172, Out Sourcing Company  ,,0,Bengaluru,400000,"['Informatica Power Center, ETL, Data Warehousing, Cognos, Datastage...']"
173, Out Sourcing Company  ,,0,"Chennai, Hyderabad, Pune",400000,"['Informatica Power Center, ETL, Data Warehousing, Cognos, Datastage...']"
174, Out Sourcing Company  ,,0,Bengaluru,400000,"['Informatica Power Center, ETL, Data Warehousing, Cognos, Datastage...']"
175, ELEMENTS HR SERVICES PVT LTD  ,,10,Pune,3750000,"['Impala, Hive, SQL, Greenplum, Hiring, Investment Banking, Big Data...']"
176, CONFIDENTIAL  3.8(13 reviews)   ,Good Understanding of ETL design and development best practices;Experience tuning very large data sets ...,7,"Bengaluru, Hyderabad",,"['etl developer, db2, Oracle, Informatica, informatica developer, teradata...']"
177, Out Sourcing Company  ,,0,"Chennai, Hyderabad, Pune",400000,"['Informatica Power Center, ETL, Data Warehousing, Cognos, Datastage...']"
178, Out Sourcing Company  ,,0,Bengaluru,400000,"['Informatica Power Center, ETL, Data Warehousing, Cognos, Datastage...']"
179, Katyayana Consulting  ,Good understanding over different abinitio recovary mechanisms;An ideal candidate should have the ...,4,South Africa,3000000,"['Ab Initio, ETL, Application Developer, Data Warehousing, MDH...']"
180, ILABZ TECHNOLOGY LLP  ,Experience:3+ Yrs;Notice period :Immediate only;Total Experience:;Relevant Experience (Recruitment): ...,3,Bengaluru,,"['ab initio, Cognos']"
181, Growel Softech Pvt. Ltd.  ,"Abinitio SME with a good hands on experience in Ab Initio CO>OP 3.1 & Above, EME Administration, ...",3,"Mumbai, Pune",,"['SQL, Oracle 11G, PL, Software Development, Shell Scripting...']"
182, Karan IT Solutions  ,,0,"Bengaluru, Hyderabad, Pune",600000,"['ETL, Data Warehousing, Informatica, Datastage Cognos Business Objects...']"
183, Next Step Services Private Limited  ,Some past  team management experience  is must;Must be handson with Bigdata &   spark ...,10,"Delhi NCR, Gurgaon",,"['Spark, ETL, informatica, abinitio, cognos, microstrategy, business objects,...']"
184, BCT Consulting Private Limited  ,Good knowledge in Hadoop file storage and processing the files through ab initio environment;5+ years of ...,5,"Chennai, Mumbai",,['Ab Initio']
185, ILABZ TECHNOLOGY LLP  ,Do you believe that software products must operate 24/7 without failure;Education and career throughout ...,3,Pune,,"['java, scala, selenium testing, spark, .net, performance testing, ab initio,...']"
186, Pride Technologies Consulting India Pvt Ltd  ,,5,Chennai,,"['Unix, ETL Tool, Business Intelligence, Ab Initio, Data Profiling...']"
187, SRS Infoway  ,,3,Bengaluru,,['Ab Initio']
188, ELEMENTS HR SERVICES PVT LTD  ,,6,Pune,2300000,"['SQL, Informatica, ETL, Ab Initio, Business Objects, ETL Developer...']"
189, WSNE Consulting Pvt Ltd  ,,5,Trivandrum,950000,"['sql, excel, javascript, xml, sas, spss, data analytics, data analysis...']"
190, VServ Business Solutions Pvt Ltd  3.7(11 reviews)   ,,5,Gurgaon,,"['java, C++']"
191, VServ Business Solutions Pvt Ltd  3.7(11 reviews)   ,,5,Gurgaon,,"['unix shell scripting, etl, data integration, teradata, ab initio...']"
192, TransUnion Software Services Pvt. Ltd  ,,3,Chennai,,"['Testing, SQL, Unix, Db2, Ab Initio, Application development, SDLC...']"
193, TransUnion Software Services Pvt. Ltd  ,,3,Chennai,,"['SQL, Unix, Db2, Manager Quality Assurance, Ab Initio...']"
194, TransUnion Software Services Pvt. Ltd  ,,2,Chennai,,"['SQL, Unix, Db2, Manager Quality Assurance, Ab Initio...']"
195, TransUnion Software Services Pvt. Ltd  ,,9,Chennai,,"['Linux, Shell scripting, Automation, Application development, Agile...']"
196, TransUnion Software Services Pvt. Ltd  ,,3,Chennai,,"['Linux, Shell scripting, Automation, Ab Initio, Application development...']"
197, Infometry  ,,4,Not specified,,"['Ab Initio, SQL, Unix, Application development, Data warehousing, Solid...']"
198, Vodafone India Limited  4.2(2058 reviews)   ,,2,Pune,,"['ITIL certified, SQL, Unix, Monitoring, IT operations, Operations...']"
199, Arminus Software Pvt. Ltd  4.2(6 reviews)   ,,3,Pune,,"['Unix, Automation, Agile, Analytical skills, Ab Initio, Finance, Compliance,...']"
200, TransUnion Software Services Pvt. Ltd  ,,2,Chennai,,"['Manager Quality Assurance, Ab Initio, Test cases, Test scenarios, Testing...']"
201, TransUnion Software Services Pvt. Ltd  ,,3,Chennai,,"['Ab Initio, Application development, Data processing, Business operations...']"
202, TransUnion Software Services Pvt. Ltd  ,,9,Chennai,,"['Linux, Shell scripting, Automation, Application development, Agile...']"
203, TransUnion Software Services Pvt. Ltd  ,,3,Chennai,,"['Linux, Shell scripting, Automation, Ab Initio, Application development...']"
204, TransUnion Software Services Pvt. Ltd  ,,3,Chennai,,"['Linux, Shell scripting, Automation, Ab Initio, Application development...']"
205, Epsilon  ,All job offers are contingent upon successful completion of certain background checks which unless ...,2,Bengaluru,,"['C, Python, Six Sigma, PMP, .NET, HTML, JavaScript, SQL, Oracle...']"
206, TransUnion Software Services Pvt. Ltd  ,,3,Chennai,,"['ERP, microsoft, Ab Initio, Agile, Consulting, Risk management, Automotive...']"
207, TransUnion Software Services Pvt. Ltd  ,,3,Chennai,,"['SQL, Ab Initio, Application development, SDLC, Testing tools, Coding...']"
208, TransUnion Software Services Pvt. Ltd  ,,2,Chennai,,"['SQL, Unix, Db2, Manager Quality Assurance, Ab Initio...']"
209, Wipro Limited  3.7(3812 reviews)   ,,5,Pune,,"['Project management, Teradata, RDBMS, Agile, Unix shell scripting...']"
210, JPMorgan Chase  4.0(573 reviews)   ,,2,Bengaluru,,"['Oracle, Unix, Core Java, Ab Initio, Application development, Agile...']"
211, Wipro Limited  3.7(3812 reviews)   ,,5,Bengaluru,,"['Information management, Project Leader, Project management...']"
212, Wipro Limited  3.7(3812 reviews)   ,,8,Bengaluru,,"['Information Architect, Solution architecture, Data architecture, Ab Initio,...']"
213, Allstate Solutions Private Limited  4.0(80 reviews)   ,1+ years of Test Automation Development experience with open source and market-leading vended solutions ...,1,Bengaluru,,"['Test Cases, Test Scenarios, Test Strategy, Test Data, Test Scripts...']"
214, Diverse Lynx India Pvt. Ltd  ,,1,Chennai,,"['Business Analysts, Architects, Lead Developers, design, development, SQL...']"
215, Wells Fargo India Solutions Pvt. Ltd.  4.0(52 reviews)   ,,1,Hyderabad,,"['Unix, Informatica, Shell scripting, Automation, Production support, Manager...']"
216, Wells Fargo India Solutions Pvt. Ltd.  4.0(52 reviews)   ,,1,Bengaluru,,"['Unix, Informatica, Shell scripting, Automation, Production support, Manager...']"
217, Wells Fargo India Solutions Pvt. Ltd.  4.0(52 reviews)   ,,1,Hyderabad,,"['Consultant 4, Unix, Informatica, Datastage, Shell scripting, Automation...']"
218, Wells Fargo India Solutions Pvt. Ltd.  4.0(52 reviews)   ,,8,Hyderabad,,"['Unix, Linux, Perl, Informatica, Shell scripting, Automation...']"
